Source ID,Target ID
WholeBody_PETCT_1285b86bea-0_0000,BDMAP_00029968
WholeBody_PETCT_147a9fcff3-0_0000,BDMAP_00029969
WholeBody_PETCT_06a46414eb-0_0000,BDMAP_00029970
WholeBody_PETCT_13f476b02b-0_0000,BDMAP_00029971
WholeBody_PETCT_04ab5c61c9-0_0000,BDMAP_00029972
WholeBody_PETCT_02ba7e20f5-0_0000,BDMAP_00029973
WholeBody_PETCT_0011f3deaf-0_0000,BDMAP_00029974
WholeBody_PETCT_0168f65af8-0_0000,BDMAP_00029975
WholeBody_PETCT_15cfa01130-0_0000,BDMAP_00029976
WholeBody_PETCT_06e7c24059-0_0000,BDMAP_00029977
WholeBody_PETCT_01682f60c3-0_0000,BDMAP_00029978
WholeBody_PETCT_04606080a0-0_0000,BDMAP_00029979
WholeBody_PETCT_01140d52d8-0_0000,BDMAP_00029980
WholeBody_PETCT_0117d7f11f-0_0000,BDMAP_00029981
WholeBody_PETCT_09ee00bdc6-0_0000,BDMAP_00029982
WholeBody_PETCT_099b3fd402-0_0000,BDMAP_00029983
WholeBody_PETCT_07574bfa00-0_0000,BDMAP_00029984
WholeBody_PETCT_08212d7f6c-0_0000,BDMAP_00029985
WholeBody_PETCT_08cdb15e0b-0_0000,BDMAP_00029986
WholeBody_PETCT_0b98dbe00d-0_0000,BDMAP_00029987
WholeBody_PETCT_0b57b247b6-0_0000,BDMAP_00029988
WholeBody_PETCT_05808cf24e-1_0000,BDMAP_00029989
WholeBody_PETCT_0f4ee9e078-0_0000,BDMAP_00029990
WholeBody_PETCT_0e2034240b-0_0000,BDMAP_00029991
WholeBody_PETCT_0cda25453b-0_0000,BDMAP_00029992
WholeBody_PETCT_0beb67c923-0_0000,BDMAP_00029993
WholeBody_PETCT_154e94256c-0_0000,BDMAP_00029994
WholeBody_PETCT_04a4e1c874-0_0000,BDMAP_00029995
WholeBody_PETCT_16cdbc8689-0_0000,BDMAP_00029996
WholeBody_PETCT_15f4b7254f-0_0000,BDMAP_00029997
WholeBody_PETCT_14f931f634-0_0000,BDMAP_00029998
WholeBody_PETCT_15f4b7254f-1_0000,BDMAP_00029999
WholeBody_PETCT_15a205ffcc-0_0000,BDMAP_00030000
WholeBody_PETCT_185da4c8b6-0_0000,BDMAP_00030001
WholeBody_PETCT_17d334cb6c-0_0000,BDMAP_00030002
WholeBody_PETCT_11afab3485-0_0000,BDMAP_00030003
WholeBody_PETCT_0f44cec2e6-0_0000,BDMAP_00030004
WholeBody_PETCT_12025abab5-0_0000,BDMAP_00030005
WholeBody_PETCT_1472967bef-0_0000,BDMAP_00030006
WholeBody_PETCT_0ea07b421b-0_0000,BDMAP_00030007
WholeBody_PETCT_108c1763d4-0_0000,BDMAP_00030008
WholeBody_PETCT_11e258cc1f-0_0000,BDMAP_00030009
WholeBody_PETCT_119165872d-0_0000,BDMAP_00030010
WholeBody_PETCT_1291700093-0_0000,BDMAP_00030011
WholeBody_PETCT_14c4d2c208-0_0000,BDMAP_00030012
WholeBody_PETCT_1253499c80-0_0000,BDMAP_00030013
WholeBody_PETCT_13d0984c93-0_0000,BDMAP_00030014
WholeBody_PETCT_13b40a817b-0_0000,BDMAP_00030015
WholeBody_PETCT_0fa313309d-0_0000,BDMAP_00030016
WholeBody_PETCT_1019ae8551-0_0000,BDMAP_00030017
WholeBody_PETCT_21e4ffcb52-0_0000,BDMAP_00030018
WholeBody_PETCT_22d07bdc49-0_0000,BDMAP_00030019
WholeBody_PETCT_2202a936e0-0_0000,BDMAP_00030020
WholeBody_PETCT_21853fc15b-0_0000,BDMAP_00030021
WholeBody_PETCT_223f70f0b0-0_0000,BDMAP_00030022
WholeBody_PETCT_249dd35d0c-0_0000,BDMAP_00030023
WholeBody_PETCT_249c02c01c-0_0000,BDMAP_00030024
WholeBody_PETCT_245182006a-0_0000,BDMAP_00030025
WholeBody_PETCT_275fb00a66-0_0000,BDMAP_00030026
WholeBody_PETCT_29ab45ef17-0_0000,BDMAP_00030027
WholeBody_PETCT_27d69a8466-0_0000,BDMAP_00030028
WholeBody_PETCT_27ad42f8a9-0_0000,BDMAP_00030029
WholeBody_PETCT_2b29531d8c-0_0000,BDMAP_00030030
WholeBody_PETCT_2a78eed085-0_0000,BDMAP_00030031
WholeBody_PETCT_335a00191d-0_0000,BDMAP_00030032
WholeBody_PETCT_350e91119a-0_0000,BDMAP_00030033
WholeBody_PETCT_2dac5ef654-0_0000,BDMAP_00030034
WholeBody_PETCT_2ce074c2ea-0_0000,BDMAP_00030035
WholeBody_PETCT_323cc5aff8-0_0000,BDMAP_00030036
WholeBody_PETCT_32aa845af1-1_0000,BDMAP_00030037
WholeBody_PETCT_36870de2f2-0_0000,BDMAP_00030038
WholeBody_PETCT_2dc17aaeaf-0_0000,BDMAP_00030039
WholeBody_PETCT_37472e737f-0_0000,BDMAP_00030040
WholeBody_PETCT_2f9aec0275-0_0000,BDMAP_00030041
WholeBody_PETCT_321bba14bc-0_0000,BDMAP_00030042
WholeBody_PETCT_2f7200f771-0_0000,BDMAP_00030043
WholeBody_PETCT_1a1712f7d0-1_0000,BDMAP_00030044
WholeBody_PETCT_2e97a9e5c2-0_0000,BDMAP_00030045
WholeBody_PETCT_3049d4f1a4-0_0000,BDMAP_00030046
WholeBody_PETCT_31ddf5013a-0_0000,BDMAP_00030047
WholeBody_PETCT_30c4b7062b-0_0000,BDMAP_00030048
WholeBody_PETCT_1a1712f7d0-0_0000,BDMAP_00030049
WholeBody_PETCT_18e8b02af3-0_0000,BDMAP_00030050
WholeBody_PETCT_1a1712f7d0-2_0000,BDMAP_00030051
WholeBody_PETCT_19838cb8e5-0_0000,BDMAP_00030052
WholeBody_PETCT_19b68a666b-0_0000,BDMAP_00030053
WholeBody_PETCT_30001118d0-0_0000,BDMAP_00030054
WholeBody_PETCT_36bb0257fc-0_0000,BDMAP_00030055
WholeBody_PETCT_380f71df1e-0_0000,BDMAP_00030056
WholeBody_PETCT_1b199d094d-0_0000,BDMAP_00030057
WholeBody_PETCT_37952b7ffb-0_0000,BDMAP_00030058
WholeBody_PETCT_35c9c85a96-0_0000,BDMAP_00030059
WholeBody_PETCT_39159c05c2-0_0000,BDMAP_00030060
WholeBody_PETCT_35c9c85a96-1_0000,BDMAP_00030061
WholeBody_PETCT_1b1bdfc35b-0_0000,BDMAP_00030062
WholeBody_PETCT_3b73c2480a-0_0000,BDMAP_00030063
WholeBody_PETCT_32aa845af1-0_0000,BDMAP_00030064
WholeBody_PETCT_3b26172779-0_0000,BDMAP_00030065
WholeBody_PETCT_3a4be713a1-0_0000,BDMAP_00030066
WholeBody_PETCT_3c3050f75e-0_0000,BDMAP_00030067
WholeBody_PETCT_3b1c9155f5-0_0000,BDMAP_00030068
WholeBody_PETCT_3ba0277c0c-0_0000,BDMAP_00030069
WholeBody_PETCT_3eac8f16d4-0_0000,BDMAP_00030070
WholeBody_PETCT_3f5a9f616f-0_0000,BDMAP_00030071
WholeBody_PETCT_1f6b6b0548-0_0000,BDMAP_00030072
WholeBody_PETCT_41472f5ce9-0_0000,BDMAP_00030073
WholeBody_PETCT_43323b7d42-0_0000,BDMAP_00030074
WholeBody_PETCT_41fadf6520-0_0000,BDMAP_00030075
WholeBody_PETCT_3d6f425a76-0_0000,BDMAP_00030076
WholeBody_PETCT_42e9f16c09-0_0000,BDMAP_00030077
WholeBody_PETCT_40f0749cb7-0_0000,BDMAP_00030078
WholeBody_PETCT_3c71e8f518-0_0000,BDMAP_00030079
WholeBody_PETCT_3fd361ec14-0_0000,BDMAP_00030080
WholeBody_PETCT_4250de48c8-0_0000,BDMAP_00030081
WholeBody_PETCT_4076ea9a15-0_0000,BDMAP_00030082
WholeBody_PETCT_44b08f570e-0_0000,BDMAP_00030083
