Source ID,Target ID
DeepLesion_000002_03_01_035-047_0000,BDMAP_00030468
DeepLesion_000010_01_01_078-090_0000,BDMAP_00030469
DeepLesion_000031_02_01_100-112_0000,BDMAP_00030470
DeepLesion_000015_01_01_103-115_0000,BDMAP_00030471
DeepLesion_000039_02_01_051-063_0000,BDMAP_00030472
DeepLesion_000001_02_01_008-023_0000,BDMAP_00030473
DeepLesion_000039_05_01_063-075_0000,BDMAP_00030474
DeepLesion_000049_01_01_104-116_0000,BDMAP_00030475
DeepLesion_000009_03_01_036-048_0000,BDMAP_00030476
DeepLesion_000049_02_01_101-113_0000,BDMAP_00030477
DeepLesion_000046_02_02_048-060_0000,BDMAP_00030478
DeepLesion_000052_01_01_017-029_0000,BDMAP_00030479
DeepLesion_000050_01_01_142-154_0000,BDMAP_00030480
DeepLesion_000050_01_01_052-064_0000,BDMAP_00030481
DeepLesion_000039_04_01_052-066_0000,BDMAP_00030482
DeepLesion_000026_03_01_067-083_0000,BDMAP_00030483
DeepLesion_000039_03_01_055-068_0000,BDMAP_00030484
DeepLesion_000026_06_02_034-049_0000,BDMAP_00030485
DeepLesion_000039_01_01_058-073_0000,BDMAP_00030486
DeepLesion_000010_02_01_078-096_0000,BDMAP_00030487
DeepLesion_000053_04_01_036-054_0000,BDMAP_00030488
DeepLesion_000016_01_01_019-036_0000,BDMAP_00030489
DeepLesion_000047_04_01_094-111_0000,BDMAP_00030490
DeepLesion_000047_05_01_093-110_0000,BDMAP_00030491
DeepLesion_000014_02_01_095-114_0000,BDMAP_00030492
DeepLesion_000046_03_02_086-104_0000,BDMAP_00030493
DeepLesion_000046_03_01_014-032_0000,BDMAP_00030494
DeepLesion_000053_05_01_038-060_0000,BDMAP_00030495
DeepLesion_000041_01_01_066-087_0000,BDMAP_00030496
DeepLesion_000060_02_01_064-076_0000,BDMAP_00030497
DeepLesion_000015_02_01_064-093_0000,BDMAP_00030498
DeepLesion_000034_01_01_013-037_0000,BDMAP_00030499
DeepLesion_000042_03_01_027-054_0000,BDMAP_00030500
DeepLesion_000041_02_01_063-086_0000,BDMAP_00030501
DeepLesion_000026_05_02_050-078_0000,BDMAP_00030502
DeepLesion_000060_05_01_060-072_0000,BDMAP_00030503
DeepLesion_000022_01_01_028-056_0000,BDMAP_00030504
DeepLesion_000035_01_01_031-066_0000,BDMAP_00030505
DeepLesion_000007_03_01_037-072_0000,BDMAP_00030506
DeepLesion_000054_03_01_012-039_0000,BDMAP_00030507
DeepLesion_000055_02_01_019-040_0000,BDMAP_00030508
DeepLesion_000055_03_01_013-040_0000,BDMAP_00030509
DeepLesion_000058_08_01_029-049_0000,BDMAP_00030510
DeepLesion_000068_01_01_002-014_0000,BDMAP_00030511
DeepLesion_000062_01_01_056-084_0000,BDMAP_00030512
DeepLesion_000068_02_01_005-017_0000,BDMAP_00030513
DeepLesion_000065_03_01_043-059_0000,BDMAP_00030514
DeepLesion_000064_02_01_057-074_0000,BDMAP_00030515
DeepLesion_000071_01_01_005-017_0000,BDMAP_00030516
DeepLesion_000064_01_01_055-073_0000,BDMAP_00030517
DeepLesion_000071_03_01_109-122_0000,BDMAP_00030518
DeepLesion_000062_17_01_052-080_0000,BDMAP_00030519
DeepLesion_000066_02_01_085-105_0000,BDMAP_00030520
DeepLesion_000062_18_01_052-079_0000,BDMAP_00030521
DeepLesion_000065_05_01_048-070_0000,BDMAP_00030522
DeepLesion_000062_05_01_054-082_0000,BDMAP_00030523
DeepLesion_000062_02_01_055-083_0000,BDMAP_00030524
DeepLesion_000068_01_01_050-070_0000,BDMAP_00030525
DeepLesion_000002_02_01_044-083_0000,BDMAP_00030526
DeepLesion_000045_02_01_544-604_0000,BDMAP_00030527
DeepLesion_000062_03_01_056-084_0000,BDMAP_00030528
DeepLesion_000062_19_01_052-080_0000,BDMAP_00030529
DeepLesion_000065_06_01_011-036_0000,BDMAP_00030530
DeepLesion_000062_20_01_052-080_0000,BDMAP_00030531
DeepLesion_000073_02_01_105-121_0000,BDMAP_00030532
DeepLesion_000083_04_01_109-121_0000,BDMAP_00030533
DeepLesion_000068_02_01_050-073_0000,BDMAP_00030534
DeepLesion_000083_05_01_073-085_0000,BDMAP_00030535
DeepLesion_000072_06_01_046-064_0000,BDMAP_00030536
DeepLesion_000040_05_02_092-152_0000,BDMAP_00030537
DeepLesion_000083_06_01_112-124_0000,BDMAP_00030538
DeepLesion_000072_07_01_046-065_0000,BDMAP_00030539
DeepLesion_000083_01_01_105-121_0000,BDMAP_00030540
DeepLesion_000074_01_01_059-080_0000,BDMAP_00030541
DeepLesion_000074_02_01_020-042_0000,BDMAP_00030542
DeepLesion_000053_06_01_330-390_0000,BDMAP_00030543
DeepLesion_000075_03_02_042-064_0000,BDMAP_00030544
DeepLesion_000026_05_01_328-402_0000,BDMAP_00030545
DeepLesion_000083_09_01_098-120_0000,BDMAP_00030546
DeepLesion_000083_08_01_010-033_0000,BDMAP_00030547
DeepLesion_000083_09_01_008-031_0000,BDMAP_00030548
DeepLesion_000016_02_01_303-388_0000,BDMAP_00030549
DeepLesion_000058_09_01_265-328_0000,BDMAP_00030550
DeepLesion_000084_01_01_016-031_0000,BDMAP_00030551
DeepLesion_000083_11_01_012-035_0000,BDMAP_00030552
DeepLesion_000084_02_01_014-029_0000,BDMAP_00030553
DeepLesion_000084_04_01_016-030_0000,BDMAP_00030554
DeepLesion_000084_03_01_013-028_0000,BDMAP_00030555
DeepLesion_000084_05_01_014-030_0000,BDMAP_00030556
DeepLesion_000083_11_01_059-085_0000,BDMAP_00030557
DeepLesion_000083_07_01_049-086_0000,BDMAP_00030558
DeepLesion_000083_08_01_045-084_0000,BDMAP_00030559
DeepLesion_000083_11_01_092-123_0000,BDMAP_00030560
DeepLesion_000083_09_01_043-082_0000,BDMAP_00030561
DeepLesion_000088_01_01_001-013_0000,BDMAP_00030562
DeepLesion_000086_02_01_076-097_0000,BDMAP_00030563
DeepLesion_000057_01_01_063-141_0000,BDMAP_00030564
DeepLesion_000089_09_01_032-047_0000,BDMAP_00030565
DeepLesion_000086_03_01_077-099_0000,BDMAP_00030566
DeepLesion_000086_05_01_074-097_0000,BDMAP_00030567
DeepLesion_000087_01_01_076-099_0000,BDMAP_00030568
DeepLesion_000086_04_01_073-097_0000,BDMAP_00030569
DeepLesion_000060_06_02_130-201_0000,BDMAP_00030570
DeepLesion_000057_02_01_283-372_0000,BDMAP_00030571
DeepLesion_000063_03_01_114-174_0000,BDMAP_00030572
DeepLesion_000089_05_01_030-054_0000,BDMAP_00030573
DeepLesion_000083_05_02_360-420_0000,BDMAP_00030574
DeepLesion_000089_12_01_033-057_0000,BDMAP_00030575
DeepLesion_000037_11_02_126-211_0000,BDMAP_00030576
DeepLesion_000020_04_01_086-189_0000,BDMAP_00030577
DeepLesion_000037_07_02_135-223_0000,BDMAP_00030578
DeepLesion_000089_06_01_030-056_0000,BDMAP_00030579
DeepLesion_000093_01_01_052-067_0000,BDMAP_00030580
DeepLesion_000093_03_01_049-065_0000,BDMAP_00030581
DeepLesion_000089_10_01_030-062_0000,BDMAP_00030582
DeepLesion_000094_04_01_043-059_0000,BDMAP_00030583
DeepLesion_000037_08_02_127-219_0000,BDMAP_00030584
DeepLesion_000089_14_01_032-056_0000,BDMAP_00030585
DeepLesion_000096_04_01_100-118_0000,BDMAP_00030586
DeepLesion_000097_01_01_110-122_0000,BDMAP_00030587
DeepLesion_000097_02_01_109-121_0000,BDMAP_00030588
DeepLesion_000094_06_01_043-069_0000,BDMAP_00030589
DeepLesion_000089_13_01_032-069_0000,BDMAP_00030590
DeepLesion_000065_07_01_055-156_0000,BDMAP_00030591
DeepLesion_000094_02_01_040-070_0000,BDMAP_00030592
DeepLesion_000022_02_01_066-184_0000,BDMAP_00030593
DeepLesion_000097_01_01_076-098_0000,BDMAP_00030594
DeepLesion_000094_07_01_044-074_0000,BDMAP_00030595
DeepLesion_000091_02_01_038-075_0000,BDMAP_00030596
